rumah,alamat,harga,temppat_tidur,luas_bangunan,luas_lahan
UNIT TERBATAS RUMAH MURAH DI BANTUL DEKAT TERMINAL GIWANGAN,"Banguntapan, Bantul",Rp 530.000.000,2,45,80
Rumah Murah di Sedayu Bantul Promo Furnish dan Harga All in,"Sedayu, Bantul",Rp 299.000.000,2,36,72
Cluster Rumah Termurah di Banguntapan Uang Muka Ringan,"Banguntapan, Bantul",Rp 470.000.000,2,45,94
Rumah Murah di Tanjem Sleman Kondisi Bagus Hanya 400 Jutaan,"Ngemplak, Sleman",Rp 475.000.000,2,50,97
Hunian Smarthome di jogja barat dekat UMY,"Sedayu, Bantul",Rp 700.000.000,2,45,137
Rumah mewah di Utara bandara Adisucipto jogja harga murah,"Kalasan, Sleman",Rp 955.000.000,2,40,131
rumah baru dp ringan,"Godean, Sleman",Rp 684.000.000,2,36,91
Rumah Siap Bangun Area Ngemplak Sleman Promo Akhir Tahun Cantik Murah,"Ngemplak, Sleman",Rp 478.000.000,2,45,69
Hunian Siap Bangun Daerah Sedayu Bantul Jogja,"Sedayu, Bantul",Rp 210.000.000,2,36,118
Rumah Impian Siap Bangun Area Sedayu Bantul Jogja,"Sedayu, Bantul",Rp 210.000.000,2,36,118
Rumah Cantik Minimalis Siap Bangun Daerah Sedayu Bantul,"Sedayu, Bantul",Rp 210.000.000,2,36,118
Rumah Siap Bangun Murah Promo Daerah Kasihan,"Kasihan, Bantul",Rp 358.000.000,2,36,84
Rumah Baru Siap Bangun Daerah Malangrejo Sleman,"Ngemplak, Sleman",Rp 478.000.000,2,45,69
"RUMAH JOGJA, DESAIN ETNIK JAWA DEKAT BANDARA YIA","Sedayu, Bantul",Rp 545.000.000,2,60,94
"RUMAH 2 LANTAI LUAS TANAH 105 TIPE 80 DI JALAN SOLO, DEKAT FLY OVER JA","Berbah, Sleman",Rp 2.013.100.000,3,80,105
"DISKON 100 JUTA, RUMAH MODERN DEKAT PLAZA AMBARUKMO, JANTI, JALAN SOLO","Gondokusuman, Yogyakarta",Rp 1.908.000.000,3,80,93
"RUMAH MEWAH 2 LANTAI DI TENGKAH JOGJA KOTA, 13 MENIT BALAIKOTA, UGM","Condong Catur, Sleman",Rp 2.208.000.000,3,80,113
"RUMAH SCANDINAVIA DEKAT STADION MAGUWOHARJO, TAJEM, UPN, TRANSMART","Depok, Sleman",Rp 1.261.000.000,3,80,104
"RUMAH 2 LANTAI, 2 MENIT KE RS UAD, UNRIYO,","Depok, Sleman",Rp 1.260.000.000,3,80,104
"PROMO VALENTINE : CASH BACK 100 JUTA, RUMAH MODERN DEKAT AMBARUKMO","Depok, Sleman",Rp 1.900.000.000,3,80,98
"RUMAH 2 LANTAI DALAM RING ROAD DI JANTI DEKAT KAMPUS UIN, UGM, UAJY","Wirobrajan, Yogyakarta",Rp 1.900.009.000,3,80,98
"DEKAT BANDARA YIA, RUMAH DESAIN ETNIK JAWA MODERN","Panjatan, Kulon Progo",Rp 570.000.000,3,60,110
Rumah 2 Lantai Santori Kolam Renang View Perbukitan Selatan Pasar Hewan Gamping,"Gamping, Sleman",Rp 1.192.000.000,3,90,146
Dijual Rumah Kolam Renang di Sleman (SHM Ready),"Ngaglik, Sleman",Rp 1.971.000.000,4,110,196
Dijual Villa Kolam Renang Pribadi di Palagan,"Ngaglik, Sleman",Rp 2.361.000.000,3,130,409
Rumah Murah Area Strategis di Bangunjiwo,"Kasihan, Bantul",Rp 362.000.000,2,36,110
RUMAH 2 Lantai Private Pool di Kawasan Elit Gamping,"Gamping, Sleman",Rp 1.830.000.000,4,116,202
Rumah Mewah di Jogja Include Inner Garden,"Ngaglik, Sleman",Rp 1.432.500.000,4,95,143
Rumah Type 110 BONUS Kolam Renang Pribadi dekat Pasar Gentan,"Ngaglik, Sleman",Rp 2.167.000.000,4,229,229
Rumah Asri Nuansa Villa Barat Pertamina Rewulu Yogyakarta,"Gamping, Sleman",Rp 489.000.000,3,40,79
Rumah Sleman Kota Dekat Sleman City Hall,"Sleman, Sleman",Rp 648.000.000,3,60,109
Rumah Kolam Renang Pribadi Hanya 15 Menit Ke UGM,"Ngaglik, Sleman",Rp 1.582.500.000,4,95,143
"Rumah Siap Bangun Design Kontemporer Jl Kaliurang Km 9,5 Sleman","Ngaglik, Sleman",Rp 1.582.500.000,4,95,139
Rumah Dijual di Jogja,"Danurejan, Yogyakarta",Rp 1.662.400.000,3,171,130
Rumah Dijual di Jogja,"Ngampilan, Yogyakarta",Rp 1.662.400.000,3,154,130
Rumah Dijual di Jogja,"Pakualaman, Yogyakarta",Rp 1.662.400.000,3,154,130
Rumah Dijual di Jogja,"Pakualaman, Yogyakarta",Rp 1.780.800.000,3,171,130
Rumah Dijual di Jogja,"Danurejan, Yogyakarta",Rp 1.526.000.000,3,139,130
Rumah Dijual di Jogja,"Danurejan, Yogyakarta",Rp 1.526.000.000,3,171,130
Rumah Dijual di Jogja,"Danurejan, Yogyakarta",Rp 1.780.800.000,3,171,130
Rumah Dijual di Jogja,"Kraton, Yogyakarta",Rp 1.780.800.000,3,171,130
Rumah mewah di Utara bandara Adisucipto jogja harga murah,"Kalasan, Sleman",Rp 955.000.000,2,40,131
Dijual Rumah Modern Nawasena Kaliurang Lokasi Premium,Sleman,Rp 1.500.000.000,5,120,120
"RUMAH 2 LANTAI, 2 MENIT KE RS UAD, UNRIYO,","Depok, Sleman",Rp 1.260.000.000,3,80,104
"PROMO VALENTINE : CASH BACK 100 JUTA, RUMAH MODERN DEKAT AMBARUKMO","Depok, Sleman",Rp 1.900.000.000,3,80,98
"RUMAH 2 LANTAI DALAM RING ROAD DI JANTI DEKAT KAMPUS UIN, UGM, UAJY","Wirobrajan, Yogyakarta",Rp 1.900.009.000,3,80,98
"DEKAT BANDARA YIA, RUMAH DESAIN ETNIK JAWA MODERN","Panjatan, Kulon Progo",Rp 570.000.000,3,60,110
Rumah di Jogja Tepi Jalan Aspal  15 Menit ke UPN Depok,"Kalasan, Sleman",Rp 1.850.000.000,4,132,191
"PURI HUTAMA BANGUNJIWO SIAP BANGUN,Promo 270 Jt","Kasihan, Bantul",Rp 270.000.000,2,36,84
"LOKASI PREMIUM AREA KAMPUS JOGJA, DESAIN MODERN DEKAT KAMPUS UIN, UGM","Depok, Sleman",Rp 1.900.000.000,3,80,98
"Rumah Siap Bangun MalangRejo,Promo 320 jt","Ngemplak, Sleman",Rp 320.000.000,2,36,64
Rumah Hook di Purwomartani Kalasan Sleman,Sleman,Rp 925.000.000,3,119,70
Dijual Rumah Mewah 2 Lantai di Sleman Jalan Kaliurang,"Ngaglik, Sleman",Rp 1.500.000.000,5,120,120
Dijual Rumah Mewah 2 Lantai di Sleman Strategis,"Condong Catur, Sleman",Rp 1.500.000.000,5,120,120
Dijual Hunian Mewah 2 Lantai di Sleman dekat UII,Sleman,Rp 1.500.000.000,5,120,120
Dijual Rumah Modern Exclusive di Sleman,"Sleman, Sleman",Rp 1.500.000.000,5,120,120
Dijual Hunian Mewah Strategis dekat UII di Ngaglik Sleman,"Condong Catur, Sleman",Rp 1.500.000.000,5,120,120
Dijual Rumah Modern Strategis dekat UII di Ngaglik,Sleman,Rp 1.500.000.000,5,120,120
Dijual Rumah Mewah 2 Lantai di Sleman Promo Launching,"Ngaglik, Sleman",Rp 1.500.000.000,5,120,120
tanah beserta bangunan Dekat UGM jakal km5,"Caturtunggal, Sleman",Rp 5.500.000.000,6,190,525
RUMAH SIAP HUNI TIPE 80/140 DI DEKAT PASAR GODEAN FREE SEMUA BIAYA,"Seyegan, Sleman",Rp 668.500.000,3,80,140
RUMAH 2 LANTAI TIMUR JOGJA BAY PURWOMARTANI,"Purwo martani, Sleman",Rp 1.650.000.000,4,200,180
Sebelah Kampus UII Rumah Dijual Murah Bonus furniture,Sleman,Rp 1.300.000.000,2,125,125
"dijual murah rumah di sleman 8 menit UNY SHM,IMB",Sleman,Rp 1.500.000.000,2,130,141
promo Rumah Murah di jogja 9 menit Monumen Jogja Kembali,Sleman,Rp 1.300.000.000,2,100,125
Rumah Siap Huni dekat RSUD bantul 500jt-an,Sleman,Rp 575.000.000,2,72,131
Rumah Dijual di Jogja,"Danurejan, Yogyakarta",Rp 1.662.400.000,3,171,130
Rumah Dijual di Jogja,"Ngampilan, Yogyakarta",Rp 1.662.400.000,3,154,130
Rumah Dijual di Jogja,"Pakualaman, Yogyakarta",Rp 1.662.400.000,3,154,130
Rumah Dijual di Jogja,"Pakualaman, Yogyakarta",Rp 1.780.800.000,3,171,130
Rumah Dijual di Jogja,"Danurejan, Yogyakarta",Rp 1.526.000.000,3,139,130
Rumah Dijual di Jogja,"Danurejan, Yogyakarta",Rp 1.526.000.000,3,171,130
Rumah Dijual di Jogja,"Danurejan, Yogyakarta",Rp 1.780.800.000,3,171,130
Rumah Bebas Desain Siap Bangun Sisa 1 Unit Daerah Bangunjiwo,"Kasihan, Bantul",Rp 350.000.000,2,36,84
Rumah Impian Strategis Siap Bangun Daerah Malangrejo,"Maguwoharjo, Sleman",Rp 475.000.000,2,45,66
Rumah Impian Murah 200anJt Free Desain Daerah Balecatur,"Gamping, Sleman",Rp 198.000.000,2,36,67
Rumah Free Desain Siap Bangun Daerah Sedayu,"Sedayu, Bantul",Rp 310.000.000,2,36,70
Sale Rumah Desain Cantik Termurah daerah Sleman,"Ngemplak, Sleman",Rp 475.000.000,2,45,60
Rumah Mewah di Area Purwomartani Sleman dengan Harga Termurah,"Kalasan, Sleman",Rp 430.000.000,2,36,68
Dijual Rumah Area Bangunjiwo Murah Dengan Desain Mewah,"Kasihan, Bantul",Rp 350.000.000,2,36,84
DIJUAL RUMAH SIAP BANGUN LOKASI PINGGIR JALAN AREA SEDAYU BANTUL JOGJA,"Sedayu, Bantul",Rp 270.000.000,2,36,71
RUMAH AREA BANGUNJIWO BANTUL JOGJA READY SIAP BANGUN,"Kasihan, Bantul",Rp 352.000.000,2,36,84
Hunian Smarthome di jogja barat dekat UMY,"Sedayu, Bantul",Rp 700.000.000,2,45,137
rumah baru dp ringan,"Godean, Sleman",Rp 684.000.000,2,36,91
Prambanan Forest type 45,"Prambanan, Sleman",Rp 485.000.000,2,45,72
Tanahnya Luas  Rumah Baru 300jutaan Dalam Perumahan di Moyudan,"Moyudan, Sleman",Rp 350.000.000,2,50,120
Ruko 2 Lantai Dengan Joglo Lokasi Pas Depan Sekolah,"Jetis, Bantul",Rp 950.000.000,2,200,200
Rumah Dijual Jogja Dekat RS Jogja dan Pasar Telo Karangkajen,"Mergangsan, Yogyakarta",Rp 1.800.000.000,4,130,105
RUMAH 2 LANTAI TIMUR JOGJA BAY PURWOMARTANI,"Purwo martani, Sleman",Rp 1.650.000.000,4,200,180
RUMAH 2 LANTAI MURAH DALAM PERUMAHAN,"Sedayu, Bantul",Rp 777.000.000,2,77,72
SIAP HUNI RUMAH 3 KAMAR SLEMAN,"Mlati, Sleman",Rp 700.000.000,3,70,100
Booking 1jt Bisa Pilih Rumah,"Sedayu, Bantul",Rp 490.000.000,3,48,80
tanah beserta bangunan Dekat UGM jakal km5,"Caturtunggal, Sleman",Rp 5.500.000.000,6,190,525
Rumah Keluarga Tipe 50/107 2 KT 1 KM Sleman Jogja Godean Permai _002,"Seyegan, Sleman",Rp 480.000.000,2,50,107
"Heboh, Rumah Minimalis Murah Hanya 400 Jutaan Dekat Ringroad","Kasihan, Bantul",Rp 495.000.000,2,45,98
PERUMAHAN MURAH FASILITAS MEWAH DI JOGJA BARAT BISA KPR DP RINGAN,"Sedayu, Bantul",Rp 363.000.000,2,36,80
RUMAH TERMURAH 500 JUTAAN MEPET KOTA YOGYAKARTA,"Banguntapan, Bantul",Rp 550.000.000,2,45,80
RUMAH MURAH FREE TV 32Inch LOKASI BANTUL YOGYAKARTA,"Sedayu, Bantul",Rp 363.000.000,2,36,81
RUMAH 400 JUTAAN DEKET BALONG WATERPARK JAMBIDAN,"Banguntapan, Bantul",Rp 485.000.000,2,47,100
RUMAH 300 JUTAAN DI JOGJA SELATAN DESAIN KEKINIAN,"Kasihan, Bantul",Rp 355.000.000,2,36,76
Villa Dekat Kampus UMY Jogja,Sleman,Rp 473.000.000,2,40,79
Rumah Senyaman Villa Sleman Dekat Pasar Gamping,"Sleman, Sleman",Rp 489.000.000,2,40,79
Rumah Bangunjiwo Free Mezzanine,"Kasihan, Bantul",Rp 387.000.000,2,40,110
Rumah 300 Jutaan Include Mezzanine  Dekat Lapangan Kasihan,"Kasihan, Bantul",Rp 385.010.000,2,40,110
Rumah Mewah Sleman  Antara Kampus UGM dan UII SHM Ready Langsung Bangun,"Sleman, Sleman",Rp 1.539.500.000,4,95,139
"Rumah Sleman Jakal Km 9,5 SHM Ready Langsung Bangun","Sleman, Sleman",Rp 1.537.000.000,4,95,133
Rumah Ada Kolam Renang di Jogja Utara 2 Lantai,"Ngaglik, Sleman",Rp 1.331.000.000,4,95,125
Rumah murah yogyakarta dekat tugu lilin,"Kasihan, Bantul",Rp 657.750.000,3,54,120
Dijual Rumah Murah Prambanan Dekat Jogja,"Kalasan, Sleman",Rp 365.000.000,2,36,90
RUMAH MURAH KONSEP ETNIK JAWA,"Kalasan, Sleman",Rp 365.000.000,2,36,70
KAVLING TERMURAH DI JOGJA Mulai 365JT Type 36/70,"Kalasan, Sleman",Rp 365.000.000,2,36,70
"Kavling Siap Bangun (sisa 8 kav) area Kalasan, sleman DIY mulai 365jt","Kalasan, Sleman",Rp 365.000.000,2,36,70
RUMAH SIAP HUNI TIPE 80/140 DI DEKAT PASAR GODEAN FREE SEMUA BIAYA,"Seyegan, Sleman",Rp 668.500.000,3,80,140
Rumah dijual dekat kampus uii,"Ngaglik, Sleman",Rp 689.000.000,2,45,93
Sebelah Kampus UII Rumah Dijual Murah Bonus furniture,Sleman,Rp 1.300.000.000,2,125,125
"dijual murah rumah di sleman 8 menit UNY SHM,IMB",Sleman,Rp 1.500.000.000,2,130,141
promo Rumah Murah di jogja 9 menit Monumen Jogja Kembali,Sleman,Rp 1.300.000.000,2,100,125
Rumah Siap Huni dekat RSUD bantul 500jt-an,Sleman,Rp 575.000.000,2,72,131
Rumah Cantik dan Full Furniture Minomartani Sleman Yogyakarta,"Condong Catur, Sleman",Rp 1.175.000.000,4,120,109
"Rumah Mewah Dalam Perumahan Jakal Km 7,5 Sleman","Ngaglik, Sleman",Rp 5.100.000.000,4,400,365
Rumah Halaman dan Carport Luas Di Lempongsari Palagan Sleman,"Ngaglik, Sleman",Rp 3.650.000.000,7,400,461
Rumah Dalam Perumahan Utara Terminal Condongcatur Sleman,"Ngaglik, Sleman",Rp 1.290.000.000,4,100,109
Rumah Dalam Perumahan Jongke Mlati Sleman,"Mlati, Sleman",Rp 1.500.000.000,3,135,110
Rumah 2 lantai  dekat jogja bay full furnish,"Maguwoharjo, Sleman",Rp 365.000.000,2,76,48
Dijual Rumah SiapHuni diUtara Pasar Godean,"Godean, Sleman",Rp 475.000.000,2,50,110
"Rumah Murah di Krembangan Panjatan, Mulai 100 Juta-an","Panjatan, Kulon Progo",Rp 185.000.000,2,30,61
ADA YANG BARU NIH RUMAH MURAH 2 LANTAI DI BANGUNTAPAN DEKAT GIWANGAN,"Banguntapan, Bantul",Rp 750.000.000,3,65,84
DIJUAL RUMAH SIAP HUNI 2 LANTAI DI JAKAL DEKAT UII,"Ngaglik, Sleman",Rp 1.450.000.000,5,112,154
RUMAH CANTIK TANAH LUAS DI NGAGLIK SLEMAN UTARA DEKAT UII,"Ngaglik, Sleman",Rp 550.000.000,3,50,100
DIJUAL RUMAH 2 LANTAI 5 KT DI NGAGLIK DEKAT UII JAKAL,"Ngaglik, Sleman",Rp 1.450.000.000,5,112,152
RUMAH CANTIK SIAP HUNI JAPANESE STYLE DI PLAYEN GUNUNGKIDUL,"Playen, Gunung Kidul",Rp 367.000.000,2,46,88
Rumah Luas Kawasan Premium Pogung Mlati Jogja,"Mlati, Sleman",Rp 3.600.000.000,7,160,280
RUMAH MURAH DI BERBAH HARGA 300 JUTAAN,"Kasihan, Bantul",Rp 375.000.000,2,36,92
RUMAH DI PRAMBANAN DISKON PULUHAN JUTA,"Prambanan, Sleman",Rp 350.000.000,2,40,75
RUMAH MURAH BISA KPR DEKAT MAGNET WISATA GUNUNG KIDUL,"Wonosari, Gunung Kidul",Rp 270.000.000,2,45,78
DIJUAL RUMAH PALING MEMPESONA DI KALASAN,"Kalasan, Sleman",Rp 700.000.000,3,80,104
RUMAH MEWAH SIAP HUNI TERMURAH DI PUSAT KOTA JOGJA,"Umbulharjo, Yogyakarta",Rp 1.800.000.000,4,125,115
RUMAH TERMURAH BISA KPR GRATIS BPHTB DI GUNUNGKIDUL YOGYAKARTA,"Playen, Gunung Kidul",Rp 270.000.832,2,45,78
TOWNHOUSE MEWAH 3 LANTAI SIAP HUNI DI PALAGAN,"Ngaglik, Sleman",Rp 5.400.000.000,4,298,174
RUMAH MURAH FURNISHED FREE BPHTB DI SEDAYU BANTUL,"Sedayu, Bantul",Rp 299.000.000,2,36,72
RUMAH 2 LANTAI PALING MURAH FREE BIAYA DEKAT RSUD SLEMAN,"Sleman, Sleman",Rp 562.000.000,3,50,82
Dijual Hunian Mewah 2 Lantai di Ngaglik dekat UII,"Ngaglik, Sleman",Rp 1.500.000.000,5,120,120
Rumah Murah Dalam Cluster di Jalan Godean Sleman 4 Unit Terakhir,"Godean, Sleman",Rp 679.000.000,2,50,107
Rumah Murah 300 Jutaan di Sedayu Bantul,"Sedayu, Bantul",Rp 317.000.000,2,45,90
READY RUMAH SISA 1UNIT SAJA 2KT1KM AREA PURWOMARTANI SLEMAN JOGJA,"Purwo martani, Sleman",Rp 431.000.000,2,36,68
Rumah Siap Huni dekat Kampus Ternama UII PUSAT,"Maguwoharjo, Sleman",Rp 1.750.000.000,4,120,200
"Promo cash Keras 170 JT SHM , Balecatur","Gamping, Sleman",Rp 170.000.000,2,36,67
Rumah siap bangun daerah Purwomartani,"Sleman, Sleman",Rp 437.000.000,2,36,62
"Taman Hutama Sedayu,promo 270 j","Kasihan, Bantul",Rp 270.000.000,2,36,71
"PURI HUTAMA BANGUNJIWO SIAP BANGUN,Promo 270 Jt","Kasihan, Bantul",Rp 270.000.000,2,36,84
Rumah di Jogja Tepi Jalan Aspal  15 Menit ke UPN Depok,"Kalasan, Sleman",Rp 1.850.000.000,4,132,191
"Rumah Siap Bangun MalangRejo,Promo 320 jt","Ngemplak, Sleman",Rp 320.000.000,2,36,64
Rumah Hook di Purwomartani Kalasan Sleman,Sleman,Rp 925.000.000,3,119,70
"LOKASI PREMIUM AREA KAMPUS JOGJA, DESAIN MODERN DEKAT KAMPUS UIN, UGM","Depok, Sleman",Rp 1.900.000.000,3,80,98
Dijual Hunian Mewah 2 Lantai di Sleman dekat UII,Sleman,Rp 1.500.000.000,5,120,120
Dijual Hunian Mewah Strategis dekat UII di Ngaglik Sleman,"Condong Catur, Sleman",Rp 1.500.000.000,5,120,120
Dijual Rumah Mewah 2 Lantai di Sleman Jalan Kaliurang,"Ngaglik, Sleman",Rp 1.500.000.000,5,120,120
Dijual Rumah Modern Exclusive di Sleman,"Sleman, Sleman",Rp 1.500.000.000,5,120,120
Dijual Rumah Mewah 2 Lantai di Sleman Strategis,"Condong Catur, Sleman",Rp 1.500.000.000,5,120,120
Dijual Rumah Modern Strategis dekat UII di Ngaglik,Sleman,Rp 1.500.000.000,5,120,120
Dijual Rumah Mewah 2 Lantai di Sleman Promo Launching,"Ngaglik, Sleman",Rp 1.500.000.000,5,120,120
Dijual Rumah Lingkungan Kost2 an Dekat Kampus UII Jakal,"Depok, Sleman",Rp 11.000.000.000,4,750,2050
"RUMAH MINIMALIS MODERN 2 LANTAI DEKAT MALIOBORO, PKU JOGJA, KRATON","Kraton, Yogyakarta",Rp 1.666.000.000,3,80,113
"3 UNIT LAGI SIAP BANGUN, LOKASI PREMIUM DI JOGJA KOTA DEKAT MALIOBORO,","Tegalrejo, Yogyakarta",Rp 1.665.188.000,3,80,103
"Rumah 4 Kamar, area komperta, kalasan, sleman","Kalasan, Sleman",Rp 1.450.000.000,4,145,212
Rumah 2 Lantai Bagus SHM Jln Kaliurang Km 9,"Ngaglik, Sleman",Rp 1.150.000.000,4,100,110
"Rumah 2 Lantai SHM di Sendangadi Mlati Sleman, Sleman","Mlati, Sleman",Rp 1.050.000.000,4,124,120
Dijual Rumah Modern Promo di Nawasena Kaliurang,"Depok, Sleman",Rp 1.500.000.000,5,120,120
Rumah di Jogja  Barat Pasar Gentan Ngaglik SHM + IMB,"Ngaglik, Sleman",Rp 1.465.800.000,4,95,133
"3 Unit Siap Bangun Lokasi Premium Dalam Ring Road Janti,ambarukmo","Depok, Sleman",Rp 1.900.000.000,3,80,105
Grand Ayunia Kaliurang - Rumah Mewah Modern dengan Kolam Renang Pribadi,"Ngaglik, Sleman",Rp 1.465.800.000,4,95,133
Rumah Di Sleman  Include Private Pool Dekat Kampus UGM,"Ngaglik, Sleman",Rp 3.775.800.000,5,195,390
RUMAH LUAS MURAH DI DEKAT KAMPUS  UMY,Bantul,Rp 1.000.000.000,4,180,236
"Rumah Elegant 2 Lantai di Sardonoharjo Ngaglik, Dekat Kampus UII Terpadu","Ngaglik, Sleman",Rp 1.380.000.000,4,160,104
NEW RELEASE RUMAH MEWAH DEKAT ADI TV MAGUWOHARJO,"Ngemplak, Sleman",Rp 1.160.000.000,3,85,120
"Rumah Blekik, Sardonoharjo Palagan Km 11",Sleman,Rp 580.000.000,3,46,140
Rumah Mangku Jalan Murah : Lodiran Karta Village 3,"Prambanan, Sleman",Rp 242.000.000,2,34,67
"Selatan Pemda Sleman Jogja Dijual Rumah Siap Huni, Bangunan Baru SHM","Sleman, Sleman",Rp 650.000.000,2,60,101
Rumah Baru di Purwomartani,"Kalasan, Sleman",Rp 625.000.000,2,60,99
"Rumah mezzanine tipe 84 di sleman, harga 600 jt an","Sleman, Sleman",Rp 690.000.000,3,84,100
Rumah tipe 76 di jakal bisa diangsur hingga 12X,"Kotagede, Yogyakarta",Rp 890.000.000,3,90,100
Rumah 3 Lantai dekat Exit Tol Maguwo Sleman,"Sleman, Sleman",Rp 2.500.000.000,5,210,124
Rumah Tengah Kota Dekat Malioboro Buat Kost Ekslusif / Penginapan,"Danurejan, Yogyakarta",Rp 5.000.000.000,11,300,389
Rumah Murah Dekat Kampus UNISA Akses Cepat Ke Malioboro,Sleman,Rp 650.000.000,3,55,95
"Rumah Jogja Jalan Kaliurang Timur Pasar Gentan, dekat Kampus UGM UII","Ngaglik, Sleman",Rp 1.295.000.000,3,75,104
Rumah Siap Huni Berbah Jogja dekat Bandara Adisutjipto,"Berbah, Sleman",Rp 650.000.000,2,60,86
Rumah di Karangmojo Purwomartani 950 Juta Siap Huni,"Purwo martani, Sleman",Rp 950.000.000,3,130,156
rumah modern tropis tipe 164 m2 di jalan raya tajem sleman,"Sleman, Sleman",Rp 1.560.000.000,6,164,115
"Dijual rumah siap huni di Kranon,kepek,wonosari,Gunungkidul","Wonosari, Gunung Kidul",Rp 750.000.000,3,218,401
Rumah Dalam Perum GTA Utara Masjid Suciati Sleman,"Mlati, Sleman",Rp 1.325.000.000,4,140,108
Rumah Baru Dalam Cluster Dekat Kampus UII Jakal,"Ngaglik, Sleman",Rp 800.000.000,3,70,120
"4 MENIT KE PLAZA AMBARUKMO, LOKASI STRATEGIS DALAM RING ROAD JANTI","Depok, Sleman",Rp 1.900.000.000,3,80,97
Mau Punya Rumah Sesuai Keinginan? Postingan ini Solusinya,"Sedayu, Bantul",Rp 285.000.000,2,36,36
RUMAH READY SIAP BANGUN AREA NGEMPLAK SLEMAN HARGA 320JT,"Ngemplak, Sleman",Rp 320.000.000,2,36,64
RUMAH TERMURAH DP RENDAH HANYA 5 MENIT KE JL JOGJA SOLO,"Sleman, Sleman",Rp 250.000.000,2,36,70
"RUMAH MODERN 2 LANTAI DEKAT STADION MAGUWOHARJO, JOGJA BAY","Ngaglik, Sleman",Rp 1.350.000.000,3,80,117
Rumah di Karangmojo Purwomartani 950 Juta Siap Huni,"Purwo martani, Sleman",Rp 950.000.000,3,130,156
Rumah Minimalis Modern Siap Huni Dekat Kampus UMY Bantul,"Kasihan, Bantul",Rp 450.000.000,3,67,107
"Rumah 6 Kamar Di Perumahan Jl Lempongsari, Dekat Al-azhar dan UGM","Ngaglik, Sleman",Rp 2.500.000.000,6,150,174
Rumah Siap Huni di Jogja Selatan 300 Jutaan dekat Kampus ISI Jogja,"Sewon, Bantul",Rp 350.000.000,2,50,80
"RUMAH MURAH DI JOGJA AREA JAKAL KM8 , DEKAT KAMPUS UGM & UII, MINIMALIS MODERN",Sleman,Rp 995.000.000,3,65,101
"RUMAH MEWAH DI DEKAT STADION MAGUWOHARJO, TAJEM, JOGJABAY","Depok, Sleman",Rp 1.260.000.000,3,80,103
"Rumah Bagus Siap Bangun SHM di Sinduharjo, Ngaglik, Sleman , Sleman","Ngaglik, Sleman",Rp 1.250.000.000,3,100,100
Rumah murah di Perumahan Elit Bale Mulia,Sleman,Rp 3.800.000.000,4,253,252
Rumah di ngaglik pinggir jl aspal,"Ngaglik, Sleman",Rp 1.500.000.000,3,180,2384
Rumah Bagus di Piyungan Lingkungan Asri dan Tenang,"Piyungan, Bantul",Rp 450.000.000,3,60,105
Rumah Siap Bangun di Jogja Bagian Selatan Type 50/88 Akses Mobil Masuk,"Sedayu, Bantul",Rp 435.000.000,2,50,88
Pengen punya rumah dengan harga murah?Puri Hutama Balecatur Solusi nya,"Gamping, Sleman",Rp 170.000.000,2,36,67
Rumah 2 Lantai dkt Kampus ISI di Jogja Bagian Selatan Security 24 Jam,"Sewon, Bantul",Rp 660.000.000,2,50,70
Dijual rumah siap huni dekat RSUD wonosari,"Wonosari, Gunung Kidul",Rp 300.000.000,2,70,120
rumah modern tropis tipe 164 m2 di jalan raya tajem sleman,"Sleman, Sleman",Rp 1.560.000.000,6,164,115
"Dijual rumah siap huni di Kranon,kepek,wonosari,Gunungkidul","Wonosari, Gunung Kidul",Rp 750.000.000,3,218,401
"Balecatur,Promo Cash Keras 170 Jt","Gamping, Sleman",Rp 170.000.000,2,36,67
"9 Unit Huni Siap Bangun,Sedayu","Sedayu, Bantul",Rp 270.000.000,2,36,71
Dijual Rumah Yogyakarta Perumahan APMD,Yogyakarta,Rp 10.580.000.000,8,570,773
"DESAIN ETNIK JAWA, DI KREMBANGAN DEKAT BANDARA YIA KULONPROGO","Panjatan, Kulon Progo",Rp 520.000.000,3,60,82
"Rumah Siap Bangun ,Konsep desgin sesuai request anda ,Sedayu","Sedayu, Bantul",Rp 270.000.000,2,36,71
Rumah Mewah Siap Huni dengan Kolam Renang Pribadi di Utara bandara adisutjipto,"Purwo martani, Sleman",Rp 1.849.999.321,4,132,191
Dijual rumah 2lantai siap huni,"Wonosari, Gunung Kidul",Rp 650.000.000,3,103,349
Dijual rumah 2lantai siap huni,"Wonosari, Gunung Kidul",Rp 650.000.000,3,103,349
Dijual Rumah Siap Huni Nego dekat ISI Jogja di Jogja Bagian Selatan,"Sewon, Bantul",Rp 415.000.000,2,45,88
Rumah 300 Jutaan di Jogja Bagian Selatan Type 45/80 dkt RS PKU Bantul,"Pajangan, Bantul",Rp 315.000.000,2,45,80
Dijual Rumah Scandinavian di Jogja Bagian Selatan Utara Polsek Pleret,"Pleret, Bantul",Rp 495.000.000,3,65,90
RUMAH SIAP HUNI DI DEKAT KAMPUS UII TERPADU JL KALIURANG,"Ngaglik, Sleman",Rp 975.000.000,3,90,126
Rumah 300 Jutaan di Jogja Bagian Selatan Type 45/80 dkt RS PKU Bantul,"Pajangan, Bantul",Rp 315.000.000,2,45,80
"Rumah Ber-IMB Hitung Tanah di Perumahan Jakal Km 13, Selatan UII","Ngaglik, Sleman",Rp 1.325.000.000,4,147,251
